"model_bad_id","model_good_id","model_bad_name","model_bad_step","model_good_name","model_good_step","reward_bad","reward_good"
"0","69","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","12800000","87.692","32.30800000000001"
"0","70","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","25600000","82.245","37.754999999999995"
"0","71","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","38400000","82.115","37.885000000000005"
"0","72","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","51200000","80.201","39.79900000000001"
"0","73","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","64000000","81.738","38.262"
"0","74","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","76800000","80.848","39.152"
"0","75","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=128__1__1685745112","80000000","80.388","39.611999999999995"
"0","76","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","12800000","85.439","34.56100000000001"
"0","77","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","25600000","82.069","37.931"
"0","78","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","38400000","81.903","38.096999999999994"
"0","79","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","51200000","80.777","39.223"
"0","80","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","64000000","80.386","39.614000000000004"
"0","81","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","76800000","81.699","38.301"
"0","82","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=32_rnn=64__1__1685745099","80000000","81.185","38.815"
"0","83","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","12800000","82.407","37.593"
"0","84","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","25600000","79.608","40.391999999999996"
"0","85","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","38400000","80.298","39.702"
"0","86","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","51200000","80.709","39.291"
"0","87","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","64000000","81.262","38.738"
"0","88","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","76800000","80.379","39.620999999999995"
"0","89","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=128__1__1685745084","80000000","80.353","39.647000000000006"
"0","90","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","12800000","84.52","35.480000000000004"
"0","91","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","25600000","80.961","39.039"
"0","92","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","38400000","81.591","38.409000000000006"
"0","93","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","51200000","80.209","39.791"
"0","94","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","64000000","78.655","41.345"
"0","95","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","76800000","79.063","40.937"
"0","96","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","T_PPO_universal_RNN_h=64_rnn=64__1__1685745066","80000000","78.976","41.024"
"0","97","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","12800000","85.938","34.062"
"0","98","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","25600000","81.898","38.102000000000004"
"0","99","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","38400000","79.911","40.089"
"0","100","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","51200000","80.594","39.406000000000006"
"0","101","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","64000000","79.271","40.729"
"0","102","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","76800000","77.959","42.041"
"0","103","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32_more_samples__1__1685389309","80000000","78.524","41.476"
"0","104","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","12800000","84.684","35.316"
"0","105","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","25600000","80.495","39.504999999999995"
"0","106","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","38400000","82.343","37.657"
"0","107","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","51200000","80.991","39.009"
"0","108","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","64000000","79.512","40.488"
"0","109","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","76800000","79.971","40.028999999999996"
"0","110","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64_more_samples__1__1685389279","80000000","79.571","40.429"
"0","111","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","12800000","81.202","38.798"
"0","112","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","25600000","82.812","37.188"
"0","113","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","38400000","81.308","38.69199999999999"
"0","114","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","51200000","80.548","39.452"
"0","115","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","64000000","80.694","39.306"
"0","116","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","76800000","79.631","40.369"
"0","117","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=64__1__1685389279","80000000","79.989","40.010999999999996"
"0","118","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","12800000","84.74","35.260000000000005"
"0","119","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","25600000","80.036","39.964"
"0","120","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","38400000","80.242","39.757999999999996"
"0","121","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","51200000","79.824","40.176"
"0","122","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","64000000","79.706","40.294"
"0","123","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","76800000","77.855","42.144999999999996"
"0","124","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","PPO_universal_h=32__1__1685389243","80000000","78.258","41.742000000000004"
"1","0","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","82.687","37.313"
"1","1","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","80.628","39.372"
"1","2","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32_more_samples__1__1686135602","38400000","78.794","41.206"
"1","3","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32_more_samples__1__1686135602","51200000","76.894","43.105999999999995"
"1","4","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32_more_samples__1__1686135602","64000000","75.933","44.06699999999999"
"1","5","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","12800000","85.435","34.565"
"1","6","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","25600000","80.495","39.504999999999995"
"1","7","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","38400000","77.982","42.018"
"1","8","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","51200000","76.172","43.828"
"1","9","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","64000000","75.758","44.242000000000004"
"1","10","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","76800000","75.865","44.135000000000005"
"1","11","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=32__1__1686135602","80000000","75.414","44.586"
"1","12","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","12800000","85.645","34.355000000000004"
"1","13","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","25600000","83.019","36.980999999999995"
"1","14","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","38400000","80.81","39.19"
"1","15","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","51200000","77.2","42.8"
"1","16","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","64000000","78.353","41.647000000000006"
"1","17","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","76800000","77.742","42.257999999999996"
"1","18","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64__1__1686135601","80000000","77.553","42.447"
"1","19","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64_more_samples__1__1686135602","12800000","84.142","35.858000000000004"
"1","20","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64_more_samples__1__1686135602","25600000","83.428","36.572"
"1","21","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64_more_samples__1__1686135602","38400000","80.724","39.275999999999996"
"1","22","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_h=64_more_samples__1__1686135602","51200000","79.715","40.285"
"1","23","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","12800000","86.282","33.718"
"1","24","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","25600000","85.938","34.062"
"1","25","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","38400000","82.715","37.285"
"1","26","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","51200000","78.686","41.31399999999999"
"1","27","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","12800000","88.51","31.489999999999995"
"1","28","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","25600000","84.19","35.81"
"1","29","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","38400000","81.887","38.113"
"1","30","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","51200000","81.055","38.94499999999999"
"1","31","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","64000000","79.363","40.637"
"1","32","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","76800000","78.789","41.211"
"1","33","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","80000000","79.946","40.054"
"1","34","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","12800000","89.285","30.715000000000003"
"1","35","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","25600000","82.617","37.382999999999996"
"1","36","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","38400000","79.864","40.135999999999996"
"1","37","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","51200000","80.369","39.631"
"1","38","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","64000000","78.095","41.905"
"1","39","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","76800000","78.523","41.477000000000004"
"1","40","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","80000000","79.816","40.184"
"1","41","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","12800000","86.1","33.900000000000006"
"1","42","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","25600000","83.659","36.340999999999994"
"1","43","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","38400000","81.389","38.611000000000004"
"1","44","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","51200000","78.115","41.885000000000005"
"1","45","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","64000000","78.939","41.06100000000001"
"1","46","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","76800000","79.125","40.875"
"1","47","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","80000000","78.956","41.044"
"1","48","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","12800000","90.413","29.587000000000003"
"1","49","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","25600000","86.058","33.94199999999999"
"1","50","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","38400000","81.731","38.269000000000005"
"1","51","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","51200000","82.131","37.869"
"1","52","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","64000000","80.53","39.47"
"1","53","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","76800000","80.541","39.459"
